air-force	Air Force	Falcons	AF_Football	MW	Air Force Academy;USAFA
akron	Akron	Zips	ZipsFB	MAC	
alabama	Alabama	Crimson Tide	AlabamaFTBL	SEC	Bama;Roll Tide;UA
appalachian-state	Appalachian State	Mountaineers	AppState_FB	SBC	App State;App
arizona	Arizona	Wildcats	ArizonaFBall	B12	U of A;UA Wildcats
arizona-state	Arizona State	Sun Devils	ASUFootball	B12	ASU
arkansas	Arkansas	Razorbacks	RazorbackFB	SEC	Hogs
arkansas-state	Arkansas State	Red Wolves	AStateFB	SBC	A-State
army	Army	Black Knights	ArmyWP_Football	AAC	West Point;Army West Point
auburn	Auburn	Tigers	AuburnFootball	SEC	AU
ball-state	Ball State	Cardinals	BallStateFB	MAC	
baylor	Baylor	Bears	BUFootball	B12	BU
boise-state	Boise State	Broncos	BroncoSportsFB	MW	BSU
boston-college	Boston College	Eagles	BCFootball	ACC	BC
bowling-green	Bowling Green	Falcons	BG_Football	MAC	BGSU
buffalo	Buffalo	Bulls	UBFootball	MAC	UB
byu	BYU	Cougars	BYUfootball	B12	Brigham Young
california	California	Golden Bears	CalFootball	ACC	Cal;Cal Berkeley;UC Berkeley
central-michigan	Central Michigan	Chippewas	CMU_Football	MAC	CMU
charlotte	Charlotte	49ers	CharlotteFTBL	AAC	UNC Charlotte
cincinnati	Cincinnati	Bearcats	GoBearcatsFB	B12	UC
clemson	Clemson	Tigers	ClemsonFB	ACC	CU
coastal-carolina	Coastal Carolina	Chanticleers	CoastalFootball	SBC	CCU;Coastal
colorado	Colorado	Buffaloes	CUBuffsFootball	B12	CU Buffs;Buffs
colorado-state	Colorado State	Rams	CSUFootball	MW	CSU
delaware	Delaware	Blue Hens	Delaware_FB	CUSA	UD
duke	Duke	Blue Devils	DukeFOOTBALL	ACC	
east-carolina	East Carolina	Pirates	ECUPiratesFB	AAC	ECU
eastern-michigan	Eastern Michigan	Eagles	EMUFB	MAC	EMU
florida	Florida	Gators	GatorsFB	SEC	UF
florida-atlantic	Florida Atlantic	Owls	FAUFootball	AAC	FAU
florida-international	Florida International	Panthers	FIUFootball	CUSA	FIU
florida-state	Florida State	Seminoles	FSUFootball	ACC	FSU;Noles
fresno-state	Fresno State	Bulldogs	FresnoStateFB	MW	Fresno
georgia	Georgia	Bulldogs	GeorgiaFootball	SEC	UGA;Dawgs
georgia-southern	Georgia Southern	Eagles	GSAthletics_FB	SBC	GS
georgia-state	Georgia State	Panthers	GeorgiaStateFB	SBC	GSU
georgia-tech	Georgia Tech	Yellow Jackets	GeorgiaTechFB	ACC	GT
hawaii	Hawaii	Rainbow Warriors	HawaiiFootball	MW	Hawai'i;UH
houston	Houston	Cougars	UHCougarFB	B12	UH;U of H
illinois	Illinois	Fighting Illini	IlliniFootball	B1G	Illini;UIUC
indiana	Indiana	Hoosiers	IndianaFootball	B1G	IU
iowa	Iowa	Hawkeyes	HawkeyeFootball	B1G	UI
iowa-state	Iowa State	Cyclones	CycloneFB	B12	ISU
jacksonville-state	Jacksonville State	Gamecocks	JaxStateFB	CUSA	Jax State;JSU
james-madison	James Madison	Dukes	JMUFootball	SBC	JMU
kansas	Kansas	Jayhawks	KU_Football	B12	KU
kansas-state	Kansas State	Wildcats	KStateFB	B12	K-State;KSU
kennesaw-state	Kennesaw State	Owls	KSUOwlsFB	CUSA	Kennesaw
kent-state	Kent State	Golden Flashes	KentStFootball	MAC	Kent
kentucky	Kentucky	Wildcats	UKFootball	SEC	UK
liberty	Liberty	Flames	LibertyFootball	CUSA	LU
louisiana	Louisiana	Ragin' Cajuns	RaginCajunsFB	SBC	UL Lafayette;Louisiana-Lafayette;ULL
louisiana-monroe	Louisiana-Monroe	Warhawks	ULM_FB	SBC	ULM;UL Monroe
louisiana-tech	Louisiana Tech	Bulldogs	LATechFB	CUSA	La Tech;LA Tech
louisville	Louisville	Cardinals	LouisvilleFB	ACC	UofL;Cards
